"0.0009466523,369.285647474"
"0.001115884,2853.6977290838"
"0.0283387671,11.6015530174"
"0.1178768635,11.6015530174"
"0.1467799268,14.3086191061"
"7.19685673,14.3086191061"
"8.0308572214,3.8577826975"
"8.9615050195,3.6607271686"
"11.7876863479,1.8516213603"
"16.3789370695,1.9512934226"
"26.8269579528,2.1670222856"
"41.5956216307,2.1670222856"
"57.7969288415,2.0563307936"
"80.3085722139,2.406601453"
"105.6354103749,6.8677131012"
"117.8768634794,14.3086191061"
"124.5197084735,2853.6977290838"
