"1e-9,0.4737201102"
"1.1e-9,1.7570405466"
"3.34e-8,0.5544125046"
"8.962e-7,0.5544125046"
"0.0000029936,2569.6097571494"
"0.000012452,0.5260931155"
"0.0000946652,0.4992202807"
"0.0002275846,0.4992202807"
"0.0003528735,0.4992202807"
"0.0018276994,0.4992202807"
"0.0051794747,0.4992202807"
"0.0240409918,0.4992202807"
"0.0393765892,0.4992202807"
"0.0719685673,0.426560881"
"0.1245197085,0.4047721524"
"0.215443469,0.3644767495"
"0.316227766,0.2955209235"
"0.4159562163,1.8516213603"
"0.6105402297,0.2525091034"
"0.8030857221,2.2836722578"
"1.0563541037,0.2157574717"
"1.637893707,2.2836722578"
"1.827699369,0.1843548846"
"2.9935772947,0.1843548846"
"4.9031614123,2.5361478793"
"5.7796928842,0.2047365807"
"7.19685673,2.5361478793"
"10,0.2396109392"
"13.8949549437,2.9681494779"
"19.3069772888,3.1279238173"
"21.5443469003,0.2804257156"
"31.6227766017,3.2962987477"
"39.3765892356,0.3644767495"
"51.7947467923,4.0654456494"
"68.1292069058,0.4992202807"
"105.6354103749,0.6488498559"
"117.8768634794,4.0654456494"
"146.7799267622,0.8433273883"
"163.7893706954,5.568401609"
"193.0697728883,1.2828013042"
"227.5845926075,5.568401609"
"253.9580038321,1.8516213603"
"316.2277660168,8.4702014246"
"316.2277660168,3.6607271686"
"352.8735020847,5.2839676711"
